INFO 2025-10-20 00:30:50,469 autoreload Watching for file changes with StatReloader
INFO 2025-10-20 00:34:17,435 basehttp "GET /api/?format=json HTTP/1.1" 200 141
INFO 2025-10-20 00:34:20,388 basehttp "GET /api/?format=api HTTP/1.1" 200 5488
INFO 2025-10-20 00:34:27,390 basehttp "GET /api/recipes/ HTTP/1.1" 200 16532
INFO 2025-10-20 00:34:27,582 basehttp "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
INFO 2025-10-20 00:34:43,514 basehttp "GET /review/ HTTP/1.1" 200 5876
INFO 2025-10-20 00:35:15,105 basehttp "GET /contact/ HTTP/1.1" 200 5267
INFO 2025-10-20 00:35:37,743 basehttp "GET / HTTP/1.1" 200 11539
INFO 2025-10-20 00:35:41,102 basehttp "GET /contact/ HTTP/1.1" 200 5267
INFO 2025-10-20 00:35:43,199 basehttp "GET /review/ HTTP/1.1" 200 5876
INFO 2025-10-20 00:36:28,081 basehttp "GET /api/stats/ HTTP/1.1" 200 101
INFO 2025-10-20 00:37:19,172 basehttp "GET /api/recipes/ HTTP/1.1" 200 344
INFO 2025-10-20 00:37:23,518 basehttp "GET /api/categories/ HTTP/1.1" 200 196
INFO 2025-10-20 00:42:26,404 autoreload Watching for file changes with StatReloader
INFO 2025-10-19 18:01:57,236 autoreload Watching for file changes with StatReloader
INFO 2025-10-19 18:07:30,131 autoreload Watching for file changes with StatReloader
INFO 2025-10-20 01:13:16,914 autoreload C:\Projects\Restaurant web\restaurant_web\settings.py changed, reloading.
INFO 2025-10-20 01:13:17,156 autoreload C:\Projects\Restaurant web\restaurant_web\settings.py changed, reloading.
